pivot_id,symbol,timeframe,pivot_index,confirmation_index,confirmation_delay,pivot_timestamp,confirmation_timestamp,pivot_side,structure_type,structure_mode,source,pivot_open,pivot_high,pivot_low,pivot_close,pivot_price,pivot_volume,pivot_range,pivot_body,upper_wick,lower_wick,candle_direction,close_position,confirm_open,confirm_high,confirm_low,confirm_close,confirm_volume,atr_14,range_atr_ratio,body_atr_ratio,price_to_confirm_close,volume_mean_20,volume_std_20,volume_ratio_20,volume_zscore_20,previous_pivot_type,previous_pivot_price,distance_previous_pivot,bars_previous_pivot,swing_size_atr,liquidity_type,liquidity_state,swept_index,resolved_index,last_structure_event,last_structure_event_direction,bars_since_structure_event,distance_last_structure_event_atr,bos_count_previous_20,choch_count_previous_20,near_equal_level,equal_level_type,distance_equal_level_atr,bars_since_equal_level,inside_fvg,nearest_fvg_type,distance_fvg_atr,fvg_size_atr,bars_since_fvg,fvg_mitigated,active_fvg_count_50,inside_order_block,nearest_ob_type,distance_ob_atr,ob_size_atr,bars_since_ob,ob_invalidated,active_ob_count_50,bsl_count_previous_100,ssl_count_previous_100,active_bsl_count,active_ssl_count,distance_nearest_bsl_atr,distance_nearest_ssl_atr,equal_levels_previous_100,liquidity_imbalance_100,target
37,MARKET,1,7289,7289,0,2026-07-08T10:30:00-05:00,2026-07-08T10:30:00-05:00,LOW,HL,external,ChartPrimeLow,29058,29075,29034,29054.75,29034,1598,41,3.25,17,20.75,-1,0.50609756097561,29058,29075,29034,29054.75,1598,30.4080000824421,1.34832938334783,0.106879768192206,-0.682386212304087,1098.1,319.145405732246,1.45524087059466,1.56637066058661,HIGH,29399,365,103,12.0034201200478,SSL,Resolved,16033,16033,BOS_DOWN,DOWN,433,8.12286238260768,0,0,1,EQL,0.180873453863734,281,1,BULLISH_FVG,0,2.4171270652699,225,1,3,0,BEARISH_OB,11.9458694756366,0.517955799700692,433,0,0,0,1,12,2,12.0034201200478,0,1,0.714285714285714,SWEEP
38,MARKET,1,7769,7769,0,2026-07-08T19:30:00-05:00,2026-07-08T19:30:00-05:00,HIGH,HH,external,ChartPrimeHigh,29563.25,29583,29563.25,29569.25,29583,490,19.75,6,13.75,0,1,0.30379746835443,29563.25,29583,29563.25,29569.25,490,15.5670849937375,1.2687025225304,0.385428614439617,0.883273908090788,190,97.3247142302509,2.57894736842105,3.08246474056178,LOW,29034,549,480,35.2667182212249,BSL,Resolved,8050,8050,CHOCH_UP,UP,368,11.8198108428149,0,0,0,EQH,1.41323825294526,1687,1,BEARISH_FVG,0,1.33294062493701,1975,1,3,0,BEARISH_OB,1.60595256016507,0.722678652074281,1984,1,0,1,0,9,2,0,35.2667182212249,0,0.636363636363636,SWEEP
39,MARKET,1,7938,7938,0,2026-07-08T22:19:00-05:00,2026-07-08T22:19:00-05:00,LOW,HL,external,ChartPrimeLow,29405.25,29412,29396.5,29411.25,29396.5,82,15.5,6,0.75,8.75,1,0.951612903225806,29405.25,29412,29396.5,29411.25,82,14.6123138997887,1.06074918088258,0.410612586148094,-1.00942260761407,122,48.1445739414111,0.672131147540984,-0.830830906275699,HIGH,29583,186.5,169,12.7632078861033,SSL,Resolved,11677,11677,CHOCH_UP,UP,537,0.171088577561706,0,0,1,EQL,0.171088577561706,1261,1,BEARISH_FVG,0,0.0342177155123412,442,1,4,0,BEARISH_OB,0.0513265732685118,1.07785803863875,1082,1,0,0,1,9,3,12.7632078861033,0,1,0.5,SWEEP
40,MARKET,1,8236,8236,0,2026-07-09T03:17:00-05:00,2026-07-09T03:17:00-05:00,HIGH,HH,external,ChartPrimeHigh,29725.5,29735.75,29725.5,29729.25,29735.75,159,10.25,3.75,6.5,0,1,0.365853658536585,29725.5,29735.75,29725.5,29729.25,159,12.6057042742612,0.813123945873364,0.297484370441475,0.51563957543189,157.5,63.5417185792138,1.00952380952381,0.0236065380908771,LOW,29396.5,339.25,298,26.9124193792721,BSL,Resolved,8483,8484,BOS_UP,UP,142,12.1175300226494,0,0,1,EQL,0.872620819961659,4483,1,BULLISH_FVG,0,1.36842810403078,4385,1,2,0,BEARISH_OB,9.24184777504848,0.892453111324424,2451,1,0,1,0,8,3,0,26.9124193792721,0,0.454545454545455,GRAB
41,MARKET,1,8395,8395,0,2026-07-09T05:56:00-05:00,2026-07-09T05:56:00-05:00,LOW,HL,external,ChartPrimeLow,29577.75,29580.5,29564.5,29571.5,29564.5,117,16,6.25,2.75,7,-1,0.4375,29577.75,29580.5,29564.5,29571.5,117,12.5764513203874,1.27221897436702,0.496960536862117,-0.556595801285571,137.4,112.971412313027,0.851528384279476,-0.180576657247363,HIGH,29735.75,171.25,159,13.616718710022,SSL,Resolved,10829,10829,BOS_UP,UP,301,1.47100318911187,0,0,1,EQH,0.278297900642785,2313,1,BULLISH_FVG,0,2.34565373398919,343,1,1,0,BULLISH_OB,0.0198784214744847,0.636109487183509,301,1,0,0,1,8,4,13.616718710022,0,0,0.333333333333333,SWEEP
42,MARKET,1,8577,8577,0,2026-07-09T08:58:00-05:00,2026-07-09T08:58:00-05:00,HIGH,HH,external,ChartPrimeHigh,29925.5,29931.25,29916.75,29921.75,29931.25,880,14.5,3.75,5.75,5,-1,0.344827586206897,29925.5,29931.25,29916.75,29921.75,880,27.7959248428615,0.521659202993703,0.134911862843199,0.341776719202771,1862.65,546.244842080912,0.472445172200897,-1.79891858796618,LOW,29564.5,366.75,182,13.1943801860649,BSL,Resolved,8765,8767,BOS_UP,UP,94,7.03340511622544,0,0,1,EQL,0.629588693268262,5284,1,BEARISH_FVG,0,0.512665078804156,3670,1,3,1,BULLISH_OB,0,0.692547562595088,5026,1,0,1,0,7,4,0,13.1943801860649,1,0.272727272727273,RUN
43,MARKET,1,8600,8600,0,2026-07-09T09:21:00-05:00,2026-07-09T09:21:00-05:00,LOW,HL,external,ChartPrimeLow,29641.75,29651.75,29614.5,29641.25,29614.5,2726,37.25,0.5,10,26.75,-1,0.718120805369127,29641.75,29651.75,29614.5,29641.25,2726,38.1984340617457,0.975170865375984,0.0130895418171273,-0.700290487216311,1779.95,878.413255535229,1.53150369392399,1.07699877482331,HIGH,29931.25,316.75,23,8.29222474115015,SSL,Resolved,10790,10791,BOS_UP,UP,117,3.17421389065337,0,0,1,EQL,0.130895418171273,6207,1,BULLISH_FVG,0,0.287969919976801,179,1,2,1,BEARISH_OB,0,0.294514690885364,2815,1,0,1,1,7,5,8.29222474115015,0,1,0.166666666666667,GRAB
44,MARKET,1,8789,8789,0,2026-07-09T12:30:00-05:00,2026-07-09T12:30:00-05:00,HIGH,HH,external,ChartPrimeHigh,29988.75,29993.5,29981,29985,29993.5,695,12.5,3.75,4.75,4,-1,0.32,29988.75,29993.5,29981,29985,695,9.20035689329869,1.35864294667794,0.407592884003381,0.923877203740997,601.2,499.360150592736,1.15602129075183,0.187840379110468,LOW,29614.5,379,189,41.194054143275,BSL,Resolved,10094,10097,BOS_UP,UP,24,6.76604187445612,0,0,1,EQL,0.706494332272527,4282,1,BULLISH_FVG,0,0.407592884003381,4052,1,1,0,BEARISH_OB,0.788012909073203,4.89111460804057,6827,1,1,1,0,7,5,0,41.194054143275,1,0.166666666666667,RUN
45,MARKET,1,9159,9159,0,2026-07-09T19:40:00-05:00,2026-07-09T19:40:00-05:00,LOW,HL,external,ChartPrimeLow,29805,29818.25,29804.25,29812,29804.25,149,14,7,6.25,0.75,1,0.553571428571429,29805,29818.25,29804.25,29812,149,14.6515269354749,0.955531806456472,0.477765903228236,-0.528955107145547,191.4,103.182556665359,0.778474399164054,-0.410922169117319,HIGH,29993.5,189.25,370,12.9167424551348,SSL,Resolved,9500,9502,BOS_UP,UP,394,8.66803852999799,0,0,0,EQL,1.51861304954689,7633,1,BULLISH_FVG,0,1.00672101037378,4051,1,2,0,BULLISH_OB,3.78800108988101,2.3547033801963,4735,1,0,0,1,7,6,12.9167424551348,0,1,0.0769230769230769,RUN
46,MARKET,1,9306,9306,0,2026-07-09T22:07:00-05:00,2026-07-09T22:07:00-05:00,HIGH,LH,external,ChartPrimeHigh,29955.75,29963.5,29955.75,29960.5,29963.5,118,7.75,4.75,3,0,1,0.612903225806452,29955.75,29963.5,29955.75,29960.5,118,7.74080993563897,1.00118722258232,0.613630878356905,0.387556344225414,105.35,73.1035395859872,1.12007593735168,0.17304223669116,LOW,29804.25,159.25,147,20.5727826059657,BSL,Resolved,9951,9951,BOS_UP,UP,541,4.1662307004232,0,0,1,EQL,0.452149068262983,7548,1,BEARISH_FVG,0,0.129185448075138,465,1,5,1,BEARISH_OB,0,5.8133451633812,7344,1,0,1,0,8,6,0,20.5727826059657,0,0.142857142857143,SWEEP
47,MARKET,1,9660,9660,0,2026-07-10T04:01:00-05:00,2026-07-10T04:01:00-05:00,LOW,LL,external,ChartPrimeLow,29771.75,29771.75,29717.25,29736,29717.25,1158,54.5,35.75,0,18.75,-1,0.344036697247706,29771.75,29771.75,29717.25,29736,1158,12.6956693455693,4.29280241289682,2.81592084882682,-1.47688156407001,69.8,46.931439355724,16.5902578796562,23.1870152490279,HIGH,29963.5,246.25,354,19.3963778747861,SSL,Resolved,9992,9992,CHOCH_DOWN,DOWN,160,6.85273045728484,0,0,1,EQL,0.492293854690003,1027,1,BULLISH_FVG,0,2.28424348576161,1052,1,0,1,BULLISH_OB,0,1.16181349706841,1177,1,0,0,1,8,6,19.3963778747861,0,0,0.142857142857143,SWEEP
48,MARKET,1,9802,9802,0,2026-07-10T06:23:00-05:00,2026-07-10T06:23:00-05:00,HIGH,LH,external,ChartPrimeHigh,29884.25,29887.75,29884,29886,29887.75,48,3.75,1.75,1.75,0.25,1,0.533333333333333,29884.25,29887.75,29884,29886,48,6.31308308470172,0.594004537828316,0.277202117653214,0.277202117653214,95.5,45.9015250291317,0.50261780104712,-1.03482400573519,LOW,29717.25,170.5,142,27.0074063199274,BSL,Resolved,9930,9930,CHOCH_DOWN,DOWN,302,13.2265010423105,0,0,1,EQH,0,0,1,BEARISH_FVG,0,0.435603327740765,550,1,3,1,BULLISH_OB,0,5.4648417480205,5378,1,0,1,0,9,6,0,27.0074063199274,3,0.2,SWEEP
49,MARKET,1,9844,9844,0,2026-07-10T07:05:00-05:00,2026-07-10T07:05:00-05:00,LOW,HL,external,ChartPrimeLow,29783.5,29787.75,29771.25,29782.75,29771.25,350,16.5,0.75,4.25,11.5,-1,0.696969696969697,29783.5,29787.75,29771.25,29782.75,350,11.2253136959223,1.46989210697905,0.0668132775899567,-1.02447025637934,129.6,65.2069014752273,2.70061728395062,3.38001032120399,HIGH,29887.75,116.5,42,10.3783291189733,SSL,Resolved,9991,9992,CHOCH_DOWN,DOWN,344,2.93978421395809,0,0,1,EQH,0.712674960959538,1230,1,BULLISH_FVG,0,0.334066387949783,174,1,4,0,BEARISH_OB,3.8528990076875,0.467692943129697,344,1,0,1,1,9,7,10.3783291189733,0,1,0.125,GRAB
50,MARKET,1,9951,9951,0,2026-07-10T08:52:00-05:00,2026-07-10T08:52:00-05:00,HIGH,HH,external,ChartPrimeHigh,29930.75,29968.5,29928.75,29960.5,29968.5,2433,39.75,29.75,8,2,1,0.79874213836478,29930.75,29968.5,29928.75,29960.5,2433,32.0516435285087,1.24018601307118,0.928189531795413,0.249597185020615,1720.6,522.056931761278,1.41404161339068,1.36460212796439,LOW,29771.25,197.25,107,6.15413059316454,BSL,Resolved,10044,10044,CHOCH_UP,UP,20,2.51937158630183,0,0,1,EQL,0.0467994721913653,8193,1,BULLISH_FVG,0,0.124798592510308,1125,1,2,1,BEARISH_OB,0,1.40398416574096,7989,1,0,1,0,8,7,0,6.15413059316454,2,0.0666666666666667,SWEEP
51,MARKET,1,9992,9992,0,2026-07-10T09:33:00-05:00,2026-07-10T09:33:00-05:00,LOW,LL,external,ChartPrimeLow,29761.25,29835,29675,29832.5,29675,4347,160,71.25,2.5,86.25,1,0.984375,29761.25,29835,29675,29832.5,4347,50.3415930777691,3.17828638741781,1.41533065689699,-3.1286256626144,1327.4,501.727655207484,3.27482296218171,6.01840454409729,HIGH,29968.5,293.5,41,5.83016909191954,SSL,Resolved,10739,10739,CHOCH_DOWN,DOWN,1,1.91193790493102,0,1,1,EQL,0.0645589422444242,4498,1,BULLISH_FVG,0,0.337692928663142,1548,1,0,0,BULLISH_OB,0.61082691508186,0.292998276340079,1509,1,1,1,1,8,6,5.83016909191954,0,1,0.142857142857143,SWEEP
52,MARKET,1,10262,10262,0,2026-07-10T14:03:00-05:00,2026-07-10T14:03:00-05:00,HIGH,HH,external,ChartPrimeHigh,30049.75,30077.75,30049.25,30073.5,30077.75,1080,28.5,23.75,4.25,0.5,1,0.850877192982456,30049.75,30077.75,30049.25,30073.5,1080,9.3347154793747,3.05311930106188,2.54426608421823,0.455289720333789,325.25,83.6318569685021,3.32052267486549,9.02467106863665,LOW,29675,402.75,270,43.1453964386902,BSL,Detected,-1,-1,CHOCH_UP,UP,216,11.7036239874039,0,0,1,EQH,0.964142937177436,9211,1,BEARISH_FVG,0,5.73129412655476,8362,1,1,0,BEARISH_OB,2.86564706327738,2.97277405629709,9365,1,0,1,0,6,6,0,43.1453964386902,0,0,NONE
53,MARKET,1,10829,10829,0,2026-07-13T00:30:00-05:00,2026-07-13T00:30:00-05:00,LOW,LL,external,ChartPrimeLow,29585,29585,29542.75,29572.25,29542.75,662,42.25,12.75,0,29.5,-1,0.698224852071006,29585,29585,29542.75,29572.25,662,14.92161152097,2.83146360837931,0.854465349274228,-1.97699825910508,167.25,71.4806792077412,3.95814648729447,6.92145074002626,HIGH,30077.75,535,567,35.854036224448,SSL,Resolved,11324,11324,CHOCH_DOWN,DOWN,89,8.86298372090327,0,0,1,EQL,0.485872453508875,4792,1,BULLISH_FVG,0,1.97699825910508,2777,1,4,1,BULLISH_OB,0,1.20630402250479,8304,1,0,0,1,6,4,35.854036224448,0,0,0.2,SWEEP
54,MARKET,1,11165,11165,0,2026-07-13T06:06:00-05:00,2026-07-13T06:06:00-05:00,HIGH,LH,external,ChartPrimeHigh,29793,29799.75,29786,29786,29799.75,222,13.75,7,6.75,0,-1,0,29793,29799.75,29786,29786,222,11.0445340358883,1.24495971992304,0.633797675597185,1.24495971992304,110.2,126.725135628256,2.01451905626134,0.882224346778063,LOW,29542.75,257,336,23.2694289469252,BSL,Resolved,12629,12631,CHOCH_DOWN,DOWN,425,11.2951800043927,0,0,1,EQL,0.746975831953825,1254,1,BEARISH_FVG,0,0.294263206527264,558,1,1,0,BULLISH_OB,0.973332144667105,1.56185855772163,1234,1,0,1,0,7,4,0,23.2694289469252,0,0.272727272727273,RUN
55,MARKET,1,11355,11355,0,2026-07-13T09:16:00-05:00,2026-07-13T09:16:00-05:00,LOW,LL,external,ChartPrimeLow,29643.75,29654.25,29488.5,29557.25,29488.5,3341,165.75,86.5,10.5,68.75,-1,0.414781297134238,29643.75,29654.25,29488.5,29557.25,3341,41.3970100421405,4.00391235577819,2.08952288853583,-1.66074796054148,1477.05,568.714205467034,2.26194103110931,3.27748099499168,HIGH,29799.75,311.25,190,7.51865894863325,SSL,Resolved,11494,11496,BOS_DOWN,DOWN,25,1.31048111795455,0,0,1,EQH,0.138898920336197,9233,1,BULLISH_FVG,0,0.241563339715124,3281,1,1,0,BULLISH_OB,1.22593394905426,0.434814011487224,8830,1,0,0,1,7,4,7.51865894863325,0,1,0.272727272727273,RUN
