split,ghost_timestamp,source_file,target_trace_15,tsne_x,tsne_y,hmm_state,gmm_cluster
TRAIN,2026-04-08T01:16:00-05:00,2026_04.csv,5,-3.59307648886468,-3.33289390992014,QUIET,2
TRAIN,2026-04-08T03:04:00-05:00,2026_04.csv,7,-0.82210274826315,-0.455107818106967,QUIET,3
TRAIN,2026-04-08T04:13:00-05:00,2026_04.csv,8,-1.06087994900509,-2.81196429992209,QUIET,5
TRAIN,2026-04-08T06:22:00-05:00,2026_04.csv,9,-0.570896476374409,0.0172433277992004,ACTIVE,0
TRAIN,2026-04-08T07:07:00-05:00,2026_04.csv,6,-0.928346428102471,-2.41529245773004,QUIET,5
TRAIN,2026-04-08T09:56:00-05:00,2026_04.csv,7,3.34342860950665,3.26426353728896,QUIET,4
TRAIN,2026-04-08T11:55:00-05:00,2026_04.csv,7,0.0752381732467383,-3.04221892192694,ACTIVE,3
TRAIN,2026-04-08T20:23:00-05:00,2026_04.csv,6,-0.488918268808518,1.86212499037244,ACTIVE,0
TRAIN,2026-04-08T21:51:00-05:00,2026_04.csv,10,0.138992372368295,-0.764594787418961,ACTIVE,3
TRAIN,2026-04-09T00:10:00-05:00,2026_04.csv,6,-0.201006624335902,1.03387250125533,ACTIVE,0
TRAIN,2026-04-09T01:03:00-05:00,2026_04.csv,8,0.319312337980928,-1.04584026618179,ACTIVE,3
TRAIN,2026-04-09T03:15:00-05:00,2026_04.csv,6,-0.517352353311018,1.96909542235294,ACTIVE,0
TRAIN,2026-04-09T08:45:00-05:00,2026_04.csv,7,-0.121249217791828,-2.82123184116812,ACTIVE,3
TRAIN,2026-04-09T09:36:00-05:00,2026_04.csv,8,0.0543746796985346,2.58870424290368,ACTIVE,0
TRAIN,2026-04-09T11:03:00-05:00,2026_04.csv,5,-0.767122530809868,-4.65152950372798,ACTIVE,3
TRAIN,2026-04-09T13:25:00-05:00,2026_04.csv,3,0.422127782708883,2.2445372454769,ACTIVE,0
TRAIN,2026-04-09T14:52:00-05:00,2026_04.csv,10,-0.74495899500757,-2.03345056169247,ACTIVE,3
TRAIN,2026-04-09T18:03:00-05:00,2026_04.csv,8,-0.0922969392967936,1.67257022104227,ACTIVE,0
TRAIN,2026-04-09T22:39:00-05:00,2026_04.csv,5,-1.17172653038191,-2.34562527794112,QUIET,5
TRAIN,2026-04-10T03:18:00-05:00,2026_04.csv,4,-0.188663422112987,1.60137673832068,ACTIVE,0
TRAIN,2026-04-10T10:24:00-05:00,2026_04.csv,11,-1.25951620876764,-3.43968581903015,QUIET,5
TRAIN,2026-04-10T11:44:00-05:00,2026_04.csv,6,-0.145393713277599,2.34939196744141,ACTIVE,0
TRAIN,2026-04-10T15:59:00-05:00,2026_04.csv,1,-0.484817178123378,-2.11963339879205,ACTIVE,3
TRAIN,2026-04-12T17:00:00-05:00,2026_04.csv,2,0.90187399357399,5.07391412722733,ACTIVE,1
TRAIN,2026-04-12T20:57:00-05:00,2026_04.csv,10,-0.672959064471289,-6.62807204293074,INTENSE,3
TRAIN,2026-04-12T23:04:00-05:00,2026_04.csv,6,-0.532416488681641,0.381041627697901,ACTIVE,0
TRAIN,2026-04-13T06:00:00-05:00,2026_04.csv,2,0.560429551355146,-2.60951577937681,QUIET,3
